Date,Portfolio_Value
2024-01-17,11664.442999327972
2024-01-18,11719.056064212538
2024-01-19,11714.772831841308
2024-01-23,11364.668990999917
2024-01-24,11364.668990999917
2024-01-25,11364.668990999917
2024-01-29,11347.63050675554
2024-01-30,11014.300220015088
2024-01-31,10997.787026281934
2024-02-01,10997.980359973175
2024-02-02,11237.343660236516
2024-02-05,11093.379584199707
2024-02-06,11006.846090671543
2024-02-07,11117.470104987677
2024-02-08,11178.948314037094
2024-02-09,11260.856084716192
2024-02-12,11179.312173703069
2024-02-13,11179.312173703069
2024-02-14,11179.312173703069
2024-02-15,11179.312173703069
2024-02-16,11179.312173703069
2024-02-19,11179.312173703069
2024-02-20,11179.312173703069
2024-02-21,11179.312173703069
2024-02-22,11179.312173703069
2024-02-23,11179.312173703069
2024-02-26,11179.312173703069
2024-02-27,11179.312173703069
2024-02-28,11179.312173703069
2024-02-29,11179.312173703069
2024-03-01,11179.312173703069
2024-03-04,11179.312173703069
2024-03-05,11179.312173703069
2024-03-06,11162.551585736499
2024-03-07,10967.280457909199
2024-03-11,10967.280457909199
2024-03-12,10967.280457909199
2024-03-13,10967.280457909199
2024-03-14,10967.280457909199
2024-03-15,10967.280457909199
2024-03-18,10967.280457909199
2024-03-19,10967.280457909199
2024-03-20,10967.280457909199
2024-03-21,10967.280457909199
2024-03-22,10967.280457909199
2024-03-26,10967.280457909199
2024-03-27,10950.837758572003
2024-03-28,10899.488824872487
2024-04-01,10891.604464850852
2024-04-02,10907.558059542904
2024-04-03,10794.958523454632
2024-04-04,10731.323581845543
2024-04-05,10710.599496216264
2024-04-08,10900.406854378454
2024-04-09,10736.640540494614
2024-04-10,10853.459568566877
2024-04-12,10762.315460468511
2024-04-15,10745.259867869989
2024-04-16,10752.045854978265
2024-04-18,10741.592281087513
2024-04-19,10784.13791901115
2024-04-22,10855.475970986203
2024-04-23,10704.914600766184
2024-04-24,10637.794228278564
2024-04-25,10709.682372958576
2024-04-26,10655.216851429817
2024-04-29,10746.727990080914
2024-04-30,10761.215275058597
2024-05-02,10757.914718828852
2024-05-03,10519.14276618748
2024-05-06,10412.961280406476
2024-05-07,10265.138185161728
2024-05-08,10265.138185161728
2024-05-09,10265.138185161728
2024-05-10,10265.138185161728
2024-05-13,10265.138185161728
2024-05-14,10265.138185161728
2024-05-15,10265.138185161728
2024-05-16,10265.138185161728
2024-05-17,10265.138185161728
2024-05-21,10265.138185161728
2024-05-22,10265.138185161728
2024-05-23,10265.138185161728
2024-05-24,10265.138185161728
2024-05-27,10265.138185161728
2024-05-28,10265.138185161728
2024-05-29,10265.138185161728
2024-05-30,10265.138185161728
2024-05-31,10249.748172890122
2024-06-03,10822.462013291404
2024-06-04,9997.372044937005
2024-06-05,9997.372044937005
2024-06-06,9982.383481151493
2024-06-07,10249.792981163451
2024-06-10,10259.903783986862
2024-06-11,10157.22878375516
2024-06-12,10203.597888601007
2024-06-13,10217.020093490806
2024-06-14,10302.78661303597
2024-06-18,10327.018254223643
2024-06-19,10155.748460346666
2024-06-20,10155.748460346666
2024-06-21,10155.748460346666
2024-06-24,10155.748460346666
2024-06-25,10155.748460346666
2024-06-26,10140.522450660987
2024-06-27,10251.202553605875
2024-06-28,10484.618748579886
2024-07-01,10433.786350939277
2024-07-02,10433.786350939277
2024-07-03,10433.786350939277
2024-07-04,10418.143492841918
2024-07-05,10650.100322493361
2024-07-08,10732.392756728868
2024-07-09,10645.17650977725
2024-07-10,10645.17650977725
2024-07-11,10645.17650977725
2024-07-12,10645.17650977725
2024-07-15,10645.17650977725
2024-07-16,10645.17650977725
2024-07-18,10645.17650977725
2024-07-19,10645.17650977725
2024-07-22,10645.17650977725
2024-07-23,10645.17650977725
2024-07-24,10645.17650977725
2024-07-25,10645.17650977725
2024-07-26,10645.17650977725
2024-07-29,10629.216724905022
2024-07-30,10580.620083406875
2024-07-31,10526.60356227564
